epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30816,3.55267,7.41497,1.83051,0,0,0,0,3.42436,6.25569,1.50076,0.0015,0.0015,0.0015
2,10.4649,2.92315,5.73928,1.28739,0,0,0,0,2.93742,5.32763,1.17184,0.00307954,0.00307954,0.00307954
3,15.4521,2.66113,4.97774,1.10995,0.00082,0.01514,0.00048,6e-05,3.35898,5.21423,1.29594,0.00463796,0.00463796,0.00463796
4,20.2354,2.59863,4.10354,1.11269,0.00011,0.01596,0.00014,3e-05,2.41828,4.55236,1.06357,0.00617526,0.00617526,0.00617526
5,25.0172,2.45806,3.4631,1.06897,0.00306,0.09348,0.0385,0.01535,2.77867,4.26839,1.09719,0.00769144,0.00769144,0.00769144
6,29.8313,2.48245,3.22374,1.05661,0.00434,0.3159,0.08802,0.03096,2.81412,3.76116,1.11841,0.0091865,0.0091865,0.0091865
7,34.6352,2.33384,2.85041,1.04066,0.73975,0.09882,0.13172,0.04488,2.66652,3.26885,1.1553,0.009604,0.009604,0.009604
8,39.4695,2.2629,2.72244,1.02852,0.97116,0.07728,0.11014,0.04126,2.93256,4.03414,1.18792,0.009538,0.009538,0.009538
9,44.3701,2.14851,2.40801,1.01962,0.74691,0.0463,0.0413,0.00645,4.46095,6.71965,1.74136,0.009472,0.009472,0.009472
10,49.1578,2.15928,2.24078,1.01424,0.91663,0.0463,0.03433,0.0065,5.01006,4.69002,1.97728,0.009406,0.009406,0.009406
11,54.0517,2.1136,2.12971,0.99079,0.90192,0.10822,0.14732,0.05547,3.29015,4.51321,1.31672,0.00934,0.00934,0.00934
12,58.8696,2.09031,1.95364,0.99808,0.25359,0.04116,0.02512,0.00443,4.69348,3.83259,1.77434,0.009274,0.009274,0.009274
13,63.7014,2.05825,1.84433,0.98101,0.37067,0.3723,0.31637,0.12258,2.5033,3.0425,1.12677,0.009208,0.009208,0.009208
14,68.4973,2.07033,1.76683,0.98801,0.43728,0.3056,0.31998,0.12538,2.30695,2.61998,1.06515,0.009142,0.009142,0.009142
15,73.2841,2.03415,1.67739,0.98363,0.48021,0.48963,0.46441,0.19299,2.14017,2.08239,1.02096,0.009076,0.009076,0.009076
16,78.1684,1.89871,1.56042,0.9542,0.34391,0.24658,0.19187,0.05355,3.06698,3.74124,1.20209,0.00901,0.00901,0.00901
17,83.1151,1.96054,1.54753,0.95799,0.39868,0.38278,0.34442,0.11405,2.6208,3.09499,1.12461,0.008944,0.008944,0.008944
18,87.961,1.96305,1.54322,0.95437,0.5899,0.26955,0.30737,0.10229,2.66901,2.34136,1.12951,0.008878,0.008878,0.008878
19,92.812,1.90687,1.48652,0.9408,0.48869,0.40235,0.37199,0.11386,2.80998,1.99391,1.14644,0.008812,0.008812,0.008812
20,97.6708,1.87384,1.37631,0.96342,0.78506,0.57262,0.64156,0.27775,1.99542,1.50483,1.00551,0.008746,0.008746,0.008746
21,102.48,1.87703,1.38858,0.94929,0.67392,0.58368,0.63046,0.26453,2.06626,1.57242,1.00666,0.00868,0.00868,0.00868
22,107.318,1.83083,1.32203,0.95354,0.65948,0.10394,0.13053,0.03432,3.57396,4.18701,1.28815,0.008614,0.008614,0.008614
23,112.185,1.85473,1.33743,0.95094,0.76527,0.21973,0.26144,0.09365,3.0222,2.96628,1.19007,0.008548,0.008548,0.008548
24,117.003,1.79042,1.25698,0.93313,0.44151,0.34212,0.31621,0.13281,2.43836,2.77927,1.08057,0.008482,0.008482,0.008482
25,121.807,1.78449,1.25933,0.93993,0.72046,0.52704,0.59017,0.25659,2.08842,1.62519,1.00281,0.008416,0.008416,0.008416
26,126.66,1.84544,1.28106,0.93762,0.69499,0.53263,0.60919,0.25194,2.11315,1.68257,1.04005,0.00835,0.00835,0.00835
27,131.459,1.82763,1.25873,0.93375,0.86149,0.66624,0.77174,0.34479,1.89438,1.35501,0.97045,0.008284,0.008284,0.008284
28,136.281,1.78032,1.18607,0.9247,0.84101,0.60776,0.69969,0.29827,1.90926,1.3894,0.97226,0.008218,0.008218,0.008218
29,141.061,1.74456,1.1667,0.91804,0.73684,0.69823,0.74023,0.30925,2.00475,1.24955,0.97799,0.008152,0.008152,0.008152
30,145.828,1.71952,1.11003,0.91188,0.90174,0.68626,0.80062,0.37587,1.86597,1.1299,0.96477,0.008086,0.008086,0.008086
31,150.66,1.78299,1.15425,0.92951,0.80785,0.73463,0.80223,0.36888,1.85988,1.20825,0.96318,0.00802,0.00802,0.00802
32,155.54,1.71889,1.12341,0.91539,0.83723,0.6671,0.74073,0.34459,1.83175,1.24552,0.95697,0.007954,0.007954,0.007954
33,160.455,1.66762,1.06165,0.92014,0.76366,0.70928,0.76996,0.35708,1.85911,1.25376,0.95659,0.007888,0.007888,0.007888
34,165.215,1.76359,1.1287,0.92361,0.70756,0.60077,0.64271,0.29691,2.0108,1.5755,0.99187,0.007822,0.007822,0.007822
35,170.039,1.69183,1.06252,0.91199,0.69792,0.50144,0.54977,0.21099,2.35786,1.64982,1.03616,0.007756,0.007756,0.007756
36,174.844,1.69332,1.05258,0.90804,0.538,0.3778,0.34087,0.10076,2.912,2.31084,1.15857,0.00769,0.00769,0.00769
37,179.638,1.6888,1.05085,0.90295,0.75139,0.66023,0.69758,0.31403,1.8866,1.58988,0.9672,0.007624,0.007624,0.007624
38,184.423,1.67894,1.04639,0.90603,0.79384,0.7111,0.75111,0.32928,1.95634,1.22124,0.9634,0.007558,0.007558,0.007558
39,189.227,1.67231,1.01874,0.91357,0.85816,0.7148,0.80733,0.37491,1.80671,1.15864,0.9456,0.007492,0.007492,0.007492
40,194.087,1.6575,1.01883,0.89998,0.86785,0.76345,0.83313,0.38581,1.80167,1.01132,0.9429,0.007426,0.007426,0.007426
41,198.93,1.69454,1.02208,0.91513,0.89384,0.66805,0.7917,0.36465,1.8334,1.11879,0.95432,0.00736,0.00736,0.00736
42,203.75,1.64567,0.96736,0.89749,0.79616,0.65047,0.72103,0.33004,1.89417,1.39085,0.97041,0.007294,0.007294,0.007294
43,208.623,1.61311,0.97308,0.90249,0.8369,0.613,0.70896,0.33199,1.88519,1.32296,0.97331,0.007228,0.007228,0.007228
44,213.411,1.6535,0.97717,0.90922,0.78629,0.57507,0.6517,0.29788,1.90712,1.57228,0.97624,0.007162,0.007162,0.007162
45,218.164,1.62807,0.94999,0.90751,0.85186,0.69411,0.75318,0.35573,1.81222,1.21336,0.94915,0.007096,0.007096,0.007096
46,223.158,1.5906,0.92888,0.89789,0.92294,0.75147,0.83812,0.39589,1.85273,1.05368,0.95223,0.00703,0.00703,0.00703
47,227.983,1.57981,0.93066,0.88803,0.90483,0.73842,0.8374,0.41557,1.74855,1.05598,0.93664,0.006964,0.006964,0.006964
48,232.852,1.61306,0.95433,0.89094,0.84723,0.76683,0.83016,0.38634,1.8932,1.0459,0.95754,0.006898,0.006898,0.006898
49,237.676,1.51792,0.89279,0.88759,0.86933,0.74847,0.8163,0.39489,1.76791,1.04832,0.9438,0.006832,0.006832,0.006832
50,242.453,1.56825,0.90738,0.89012,0.90645,0.7635,0.82913,0.38352,1.77105,1.04129,0.94096,0.006766,0.006766,0.006766
51,247.257,1.62575,0.9348,0.89723,0.89487,0.68375,0.7688,0.36233,1.84937,1.19832,0.96352,0.0067,0.0067,0.0067
52,252.165,1.54234,0.90997,0.90161,0.90535,0.75361,0.82549,0.38318,1.77374,1.02193,0.94932,0.006634,0.006634,0.006634
53,256.912,1.60356,0.93176,0.89508,0.91201,0.78942,0.86032,0.40652,1.77071,0.98392,0.94679,0.006568,0.006568,0.006568
54,261.651,1.55935,0.91182,0.89055,0.9143,0.78844,0.85436,0.40225,1.77612,0.96819,0.94319,0.006502,0.006502,0.006502
55,266.42,1.55337,0.88303,0.88371,0.91694,0.68547,0.79188,0.36382,1.86739,1.11533,0.96157,0.006436,0.006436,0.006436
56,271.209,1.58215,0.90502,0.89028,0.77418,0.72587,0.7869,0.35106,1.9906,1.13842,0.97511,0.00637,0.00637,0.00637
57,275.972,1.55564,0.89771,0.88815,0.79311,0.67299,0.7313,0.28084,2.2026,1.23649,1.00576,0.006304,0.006304,0.006304
58,280.742,1.52105,0.86189,0.88481,0.80992,0.72094,0.78114,0.33098,1.97685,1.19261,0.96873,0.006238,0.006238,0.006238
59,285.561,1.53027,0.88818,0.88355,0.7336,0.57105,0.62436,0.28981,1.89894,1.4957,0.97055,0.006172,0.006172,0.006172
60,290.423,1.53235,0.87341,0.88995,0.88479,0.7722,0.83274,0.40353,1.77898,0.99639,0.94279,0.006106,0.006106,0.006106
61,295.278,1.57364,0.88668,0.88212,0.86514,0.8079,0.86465,0.41051,1.78589,0.99095,0.94356,0.00604,0.00604,0.00604
62,300.128,1.4886,0.84742,0.87987,0.88499,0.77817,0.83241,0.39127,1.81671,0.98436,0.95093,0.005974,0.005974,0.005974
63,305.016,1.5003,0.85341,0.88607,0.9327,0.78284,0.86419,0.40934,1.76951,0.93413,0.93705,0.005908,0.005908,0.005908
64,309.845,1.53168,0.85287,0.8856,0.88298,0.73918,0.83778,0.41504,1.76701,0.98317,0.94175,0.005842,0.005842,0.005842
65,314.733,1.51845,0.84391,0.87837,0.91784,0.7673,0.84519,0.406,1.8904,1.0033,0.94929,0.005776,0.005776,0.005776
