epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.25649,3.97058,8.15006,1.92024,0,0,0,0,3.42183,6.0478,1.50832,0.0015,0.0015,0.0015
2,10.0835,3.23859,6.02181,1.38028,0,0,0,0,3.94547,5.72699,1.49907,0.00307954,0.00307954,0.00307954
3,14.8229,2.90355,5.16827,1.18826,0,0,0,0,3.30597,5.04203,1.30174,0.00463796,0.00463796,0.00463796
4,19.4845,2.65973,4.2843,1.12692,0,0,0,0,4.09314,4.82879,1.50744,0.00617526,0.00617526,0.00617526
5,24.1225,2.46352,3.71412,1.08718,0.00334,0.0437,0.03268,0.01639,2.77221,4.01482,1.15547,0.00769144,0.00769144,0.00769144
6,28.6267,2.52704,3.35626,1.0782,0.01433,0.20544,0.12411,0.05042,2.53676,3.77308,1.11327,0.0091865,0.0091865,0.0091865
7,33.1431,2.3836,3.02476,1.0517,0.8434,0.00309,0.00294,0.00055,4.93075,3.69155,1.64897,0.009604,0.009604,0.009604
8,37.6935,2.3825,2.83697,1.05782,0.91407,0.05511,0.05282,0.0143,4.13898,3.34328,1.51044,0.009538,0.009538,0.009538
9,42.3288,2.26367,2.55687,1.03518,0.97152,0.06173,0.08133,0.0216,3.68994,5.94579,1.38823,0.009472,0.009472,0.009472
10,47.0568,2.15461,2.39252,1.01536,0.69376,0.09707,0.08376,0.03316,2.86829,4.21238,1.19152,0.009406,0.009406,0.009406
11,51.7039,2.16069,2.23237,0.99918,0.73169,0.27168,0.30941,0.11844,2.32889,2.62951,1.08952,0.00934,0.00934,0.00934
12,56.2709,2.13444,2.06449,1.01287,0.29917,0.22625,0.18129,0.06877,2.5556,3.25275,1.12553,0.009274,0.009274,0.009274
13,60.926,2.08517,2.03906,0.99223,0.78008,0.10815,0.1121,0.02847,3.46146,3.78031,1.40377,0.009208,0.009208,0.009208
14,65.5785,2.12477,1.92343,1.00174,0.27019,0.22843,0.19178,0.0838,2.69753,4.39449,1.17569,0.009142,0.009142,0.009142
15,70.2273,2.08394,1.79695,0.99435,0.41721,0.32772,0.32834,0.12685,2.5422,2.11701,1.10316,0.009076,0.009076,0.009076
16,74.9299,1.96842,1.68546,0.96691,0.47409,0.3905,0.40283,0.1601,2.27994,2.18282,1.0601,0.00901,0.00901,0.00901
17,79.5231,1.97781,1.69257,0.96879,0.405,0.30584,0.27843,0.08824,3.07036,2.64339,1.21943,0.008944,0.008944,0.008944
18,84.151,2.045,1.6614,0.96702,0.36923,0.13927,0.12185,0.03513,3.34293,5.75372,1.35696,0.008878,0.008878,0.008878
19,88.7566,1.96252,1.58266,0.95718,0.46834,0.3503,0.31338,0.13343,2.33802,2.80011,1.05399,0.008812,0.008812,0.008812
20,93.4277,1.91108,1.52154,0.97485,0.70974,0.4308,0.56168,0.23843,2.0483,1.68339,1.02093,0.008746,0.008746,0.008746
21,98.0729,1.93241,1.49945,0.9585,0.70767,0.53925,0.58027,0.2433,2.11858,1.72798,1.01779,0.00868,0.00868,0.00868
22,102.628,1.8979,1.41376,0.95884,0.33192,0.21609,0.20006,0.07331,3.10569,2.9374,1.23907,0.008614,0.008614,0.008614
23,107.186,1.89367,1.46189,0.9568,0.47462,0.20964,0.23625,0.10133,2.53836,2.98766,1.15292,0.008548,0.008548,0.008548
24,111.903,1.9034,1.35439,0.95523,0.66838,0.45936,0.47034,0.18613,2.20306,2.32154,1.06187,0.008482,0.008482,0.008482
25,116.475,1.8144,1.29562,0.95119,0.66542,0.54535,0.55818,0.24596,2.12429,1.78349,1.0682,0.008416,0.008416,0.008416
26,121.162,1.92391,1.38775,0.95671,0.47515,0.42696,0.36644,0.15273,2.4431,6.98405,1.15152,0.00835,0.00835,0.00835
27,125.706,1.84271,1.29225,0.95281,0.81194,0.61099,0.68059,0.30268,1.99806,1.37211,0.99335,0.008284,0.008284,0.008284
28,130.33,1.82546,1.26668,0.93559,0.70717,0.60082,0.65599,0.26303,2.12318,1.47262,1.0309,0.008218,0.008218,0.008218
29,134.872,1.84829,1.26935,0.9366,0.60384,0.52453,0.54816,0.23821,2.04306,1.75225,1.00123,0.008152,0.008152,0.008152
30,139.39,1.83127,1.23548,0.93395,0.59989,0.51961,0.5398,0.21125,2.17327,1.87838,1.02178,0.008086,0.008086,0.008086
31,143.975,1.81928,1.2489,0.93805,0.69862,0.53672,0.58809,0.26294,2.07427,1.66274,1.01726,0.00802,0.00802,0.00802
32,148.46,1.76763,1.17789,0.93164,0.59092,0.44035,0.44651,0.1587,2.40589,2.4062,1.12102,0.007954,0.007954,0.007954
33,153.103,1.72271,1.10901,0.93182,0.48996,0.49691,0.45633,0.20088,2.14643,2.3846,1.0342,0.007888,0.007888,0.007888
34,157.614,1.86509,1.22988,0.93956,0.55882,0.50999,0.48177,0.20775,2.26325,2.07638,1.06451,0.007822,0.007822,0.007822
35,162.1,1.76015,1.13401,0.92705,0.69133,0.3549,0.39531,0.16248,2.21098,2.12723,1.04094,0.007756,0.007756,0.007756
36,166.752,1.75657,1.15425,0.92438,0.73528,0.53197,0.60194,0.2652,2.07963,1.72917,1.00195,0.00769,0.00769,0.00769
37,171.534,1.7459,1.14139,0.9234,0.74491,0.42836,0.50338,0.2187,2.08523,3.35721,1.01066,0.007624,0.007624,0.007624
38,176.11,1.74098,1.12338,0.92204,0.85544,0.59228,0.68757,0.30512,2.0045,1.51042,0.99754,0.007558,0.007558,0.007558
39,180.667,1.70723,1.07114,0.92396,0.73095,0.56099,0.59245,0.24061,2.14985,1.57477,1.01943,0.007492,0.007492,0.007492
40,185.278,1.72613,1.09554,0.90762,0.81982,0.68031,0.73298,0.31972,1.94834,1.2352,0.98579,0.007426,0.007426,0.007426
41,189.854,1.76989,1.09841,0.92803,0.72655,0.64301,0.69582,0.27942,2.06977,1.35801,0.98291,0.00736,0.00736,0.00736
42,194.396,1.71015,1.05045,0.9169,0.68652,0.66494,0.68018,0.27953,2.08596,1.33753,0.98936,0.007294,0.007294,0.007294
43,199.037,1.71617,1.06173,0.92001,0.8336,0.6726,0.74666,0.32757,1.88563,1.39558,0.96337,0.007228,0.007228,0.007228
44,203.621,1.68289,1.0438,0.91852,0.80324,0.3825,0.49757,0.21332,2.10695,1.94984,1.0067,0.007162,0.007162,0.007162
45,208.177,1.69168,1.03613,0.92376,0.90707,0.73386,0.81601,0.36772,1.8696,1.13166,0.96047,0.007096,0.007096,0.007096
46,212.721,1.67364,1.01034,0.91402,0.78621,0.73163,0.80561,0.39238,1.7838,1.13881,0.94861,0.00703,0.00703,0.00703
47,217.355,1.65823,1.00758,0.91248,0.81786,0.74873,0.82275,0.37795,1.85581,1.10053,0.96369,0.006964,0.006964,0.006964
48,221.874,1.69028,1.03336,0.90372,0.86033,0.69115,0.7896,0.33772,1.895,1.07366,0.96073,0.006898,0.006898,0.006898
49,226.399,1.63442,0.99156,0.90479,0.90575,0.69267,0.79441,0.36411,1.88045,1.14956,0.96398,0.006832,0.006832,0.006832
50,231.097,1.63537,0.99784,0.90922,0.852,0.69683,0.77697,0.33117,1.94127,1.15667,0.96144,0.006766,0.006766,0.006766
51,235.682,1.70409,1.03258,0.91324,0.85402,0.67164,0.76901,0.33599,1.92587,1.27495,0.96724,0.0067,0.0067,0.0067
52,240.379,1.64238,0.97665,0.91478,0.71563,0.59239,0.65377,0.29941,1.99288,1.86361,0.99258,0.006634,0.006634,0.006634
53,244.96,1.62988,0.9836,0.90983,0.81932,0.71049,0.7722,0.34734,1.89614,1.11776,0.96499,0.006568,0.006568,0.006568
54,249.533,1.642,0.98036,0.91111,0.87283,0.70344,0.78584,0.34578,1.91636,1.11099,0.9774,0.006502,0.006502,0.006502
55,254.037,1.63827,0.99685,0.90124,0.90385,0.68232,0.78462,0.33834,2.00938,1.05823,0.98839,0.006436,0.006436,0.006436
56,258.595,1.66558,0.9843,0.89593,0.93186,0.75327,0.8519,0.38834,1.89039,1.02317,0.95583,0.00637,0.00637,0.00637
57,263.167,1.66356,0.9873,0.91122,0.86265,0.78742,0.83986,0.39134,1.85822,1.03728,0.94942,0.006304,0.006304,0.006304
58,267.702,1.59058,0.91691,0.89491,0.85525,0.6613,0.76078,0.30649,2.03662,1.21561,0.97138,0.006238,0.006238,0.006238
59,272.27,1.59032,0.94502,0.89802,0.89345,0.66273,0.75181,0.34553,1.87817,1.18629,0.9586,0.006172,0.006172,0.006172
60,276.757,1.59155,0.92716,0.8948,0.90632,0.76801,0.87015,0.42063,1.74324,0.96702,0.93708,0.006106,0.006106,0.006106
61,281.434,1.63554,0.94429,0.89872,0.76546,0.66078,0.67926,0.29574,1.94814,1.43112,0.96593,0.00604,0.00604,0.00604
62,286.081,1.58605,0.92079,0.89929,0.92545,0.77436,0.8453,0.39426,1.76778,0.97054,0.93936,0.005974,0.005974,0.005974
63,290.631,1.59398,0.92579,0.89732,0.90175,0.80327,0.8511,0.38344,1.77732,0.96198,0.93393,0.005908,0.005908,0.005908
64,295.159,1.62512,0.94089,0.90561,0.90754,0.75575,0.84779,0.39674,1.7843,0.99314,0.93692,0.005842,0.005842,0.005842
65,299.714,1.59346,0.92935,0.89297,0.88533,0.7665,0.84511,0.39689,1.81747,1.00637,0.93649,0.005776,0.005776,0.005776
66,304.208,1.57743,0.8925,0.89188,0.87771,0.767,0.81762,0.37992,1.85116,1.05233,0.95322,0.00571,0.00571,0.00571
67,308.711,1.60049,0.9131,0.89372,0.83476,0.73033,0.77648,0.35657,1.90281,1.09661,0.95603,0.005644,0.005644,0.005644
68,313.194,1.57598,0.89154,0.89124,0.91006,0.77059,0.84706,0.40121,1.81841,0.97774,0.93671,0.005578,0.005578,0.005578
69,317.725,1.56348,0.90404,0.89198,0.93321,0.7215,0.8431,0.42035,1.71016,0.9386,0.92926,0.005512,0.005512,0.005512
70,322.26,1.55404,0.87604,0.88574,0.89333,0.79133,0.84428,0.4003,1.73908,0.9686,0.93074,0.005446,0.005446,0.005446
71,326.719,1.57131,0.89079,0.88446,0.91912,0.82179,0.88076,0.41661,1.7354,0.92374,0.9325,0.00538,0.00538,0.00538
72,331.223,1.5127,0.85964,0.8921,0.9234,0.77811,0.85453,0.41363,1.78372,0.95129,0.93636,0.005314,0.005314,0.005314
73,335.711,1.51578,0.87837,0.88412,0.83243,0.6952,0.74526,0.32207,1.96777,1.11387,0.98765,0.005248,0.005248,0.005248
74,340.364,1.51836,0.86729,0.88338,0.9074,0.75066,0.81608,0.38074,1.80376,1.00345,0.94655,0.005182,0.005182,0.005182
75,344.84,1.529,0.8489,0.88662,0.92721,0.75759,0.82147,0.37291,1.82497,0.9768,0.94786,0.005116,0.005116,0.005116
76,349.386,1.52123,0.85105,0.88,0.89386,0.76056,0.81538,0.38184,1.79143,1.0002,0.94121,0.00505,0.00505,0.00505
77,353.877,1.51194,0.84306,0.88235,0.8617,0.74651,0.81959,0.39223,1.80414,0.97264,0.94164,0.004984,0.004984,0.004984
78,358.397,1.5271,0.86151,0.87775,0.883,0.80167,0.86109,0.41002,1.7982,0.89413,0.94022,0.004918,0.004918,0.004918
79,362.917,1.5746,0.90833,0.88536,0.94882,0.80117,0.88454,0.42592,1.74191,0.88309,0.93012,0.004852,0.004852,0.004852
80,367.422,1.54137,0.86669,0.8839,0.90922,0.78725,0.86258,0.40989,1.73957,0.91142,0.93233,0.004786,0.004786,0.004786
81,371.958,1.50916,0.85942,0.88538,0.92244,0.77599,0.86101,0.40701,1.74291,0.93416,0.93413,0.00472,0.00472,0.00472
82,376.459,1.49932,0.81186,0.88267,0.86674,0.81854,0.876,0.43201,1.69254,0.87761,0.92138,0.004654,0.004654,0.004654
83,380.975,1.50715,0.86044,0.87392,0.9079,0.79912,0.86101,0.4095,1.76666,0.9094,0.9334,0.004588,0.004588,0.004588
84,385.512,1.50707,0.82264,0.87799,0.88013,0.79644,0.86122,0.41801,1.73599,0.91892,0.92776,0.004522,0.004522,0.004522
85,390.071,1.52257,0.82352,0.88714,0.8674,0.81536,0.85579,0.40825,1.78844,0.91435,0.93542,0.004456,0.004456,0.004456
86,394.592,1.48809,0.81981,0.87389,0.92712,0.84103,0.88639,0.42601,1.80753,0.91641,0.93087,0.00439,0.00439,0.00439
87,399.114,1.5256,0.86975,0.88896,0.92806,0.84715,0.89268,0.43148,1.77266,0.87795,0.9283,0.004324,0.004324,0.004324
88,403.68,1.50684,0.8426,0.86941,0.94695,0.84787,0.89529,0.44678,1.7176,0.84434,0.92431,0.004258,0.004258,0.004258
89,408.22,1.46126,0.80964,0.8791,0.9299,0.77148,0.86661,0.41858,1.81111,0.89939,0.93404,0.004192,0.004192,0.004192
90,412.746,1.47311,0.80926,0.87697,0.94369,0.79792,0.87378,0.4102,1.77797,0.90027,0.93405,0.004126,0.004126,0.004126
91,417.263,1.48702,0.81141,0.88656,0.91811,0.78301,0.83964,0.39508,1.81191,0.9236,0.94428,0.00406,0.00406,0.00406
92,421.775,1.49787,0.83238,0.88216,0.90751,0.79621,0.86568,0.43211,1.71305,0.88081,0.9252,0.003994,0.003994,0.003994
93,426.368,1.46748,0.80172,0.88019,0.9297,0.82081,0.87756,0.43397,1.70418,0.84212,0.92395,0.003928,0.003928,0.003928
94,430.939,1.45412,0.78947,0.88137,0.93932,0.7907,0.86516,0.41649,1.7628,0.89374,0.93123,0.003862,0.003862,0.003862
95,435.508,1.42837,0.76493,0.87431,0.94066,0.82278,0.88817,0.44064,1.7207,0.81344,0.92266,0.003796,0.003796,0.003796
96,440.057,1.43479,0.76608,0.86755,0.93275,0.8454,0.90624,0.44243,1.69173,0.83765,0.92093,0.00373,0.00373,0.00373
97,444.618,1.46447,0.79637,0.87665,0.92393,0.84122,0.89517,0.44924,1.67269,0.81923,0.91983,0.003664,0.003664,0.003664
98,449.18,1.41776,0.75488,0.87052,0.8855,0.85237,0.89077,0.43484,1.71832,0.84667,0.92122,0.003598,0.003598,0.003598
99,453.648,1.43872,0.78068,0.87362,0.93472,0.8163,0.89075,0.41331,1.77772,0.86158,0.92886,0.003532,0.003532,0.003532
100,458.24,1.43736,0.76596,0.87029,0.9304,0.83527,0.88411,0.43512,1.77379,0.87821,0.92872,0.003466,0.003466,0.003466
101,462.785,1.45277,0.7855,0.87621,0.95615,0.82711,0.89167,0.44957,1.69808,0.8369,0.92246,0.0034,0.0034,0.0034
102,467.366,1.40132,0.77336,0.87011,0.92556,0.82838,0.88113,0.42177,1.76788,0.85554,0.93568,0.003334,0.003334,0.003334
103,471.94,1.45171,0.78189,0.87534,0.95375,0.7834,0.88163,0.43632,1.71899,0.85357,0.93222,0.003268,0.003268,0.003268
104,476.541,1.44562,0.7749,0.86921,0.9603,0.80072,0.90364,0.45052,1.68268,0.81589,0.92093,0.003202,0.003202,0.003202
105,481.162,1.43781,0.77473,0.86766,0.92152,0.84948,0.91145,0.4503,1.71841,0.84159,0.92815,0.003136,0.003136,0.003136
106,485.756,1.46866,0.82566,0.87127,0.92162,0.83059,0.88674,0.4262,1.7273,0.83895,0.93389,0.00307,0.00307,0.00307
