epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.8887,4.28399,8.89776,2.06104,0,0,0,0,3.52231,5.98407,1.50639,0.0015,0.0015,0.0015
2,9.41979,3.4041,6.19384,1.40532,0,0,0,0,3.63946,5.71025,1.42739,0.00307954,0.00307954,0.00307954
3,13.9111,2.87198,5.24808,1.17864,0,0,0,0,2.83244,4.85586,1.19562,0.00463796,0.00463796,0.00463796
4,18.2771,2.66819,4.52937,1.13562,0,0,0,0,3.38021,4.67048,1.30521,0.00617526,0.00617526,0.00617526
5,22.6272,2.53746,3.94236,1.10013,0.00043,0.00926,0.00556,0.00189,3.13294,4.29583,1.26389,0.00769144,0.00769144,0.00769144
6,27.0069,2.60364,3.54475,1.09604,0.89364,0.01406,0.02208,0.00479,3.86319,3.99158,1.38744,0.0091865,0.0091865,0.0091865
7,31.345,2.37351,3.09521,1.05897,0.66666,0.09292,0.12541,0.03458,3.22875,3.43944,1.32805,0.009604,0.009604,0.009604
8,35.705,2.30497,2.89232,1.04796,0.2642,0.03582,0.02458,0.00533,4.16581,3.41813,1.50962,0.009538,0.009538,0.009538
9,40.0674,2.33474,2.64158,1.05451,0.67781,0.03628,0.01985,0.00447,4.30237,4.65526,1.57168,0.009472,0.009472,0.009472
10,44.4378,2.21222,2.42782,1.02028,0.47332,0.19815,0.18341,0.06876,2.63926,3.13377,1.15317,0.009406,0.009406,0.009406
11,48.8279,2.12319,2.28314,0.99109,0.57052,0.08662,0.06137,0.01558,3.69589,4.77791,1.40371,0.00934,0.00934,0.00934
12,53.1727,2.13227,2.09802,1.00706,0.23528,0.30801,0.20939,0.0709,2.89506,4.41143,1.17418,0.009274,0.009274,0.009274
13,57.5499,2.11158,1.99023,0.99217,0.24202,0.37175,0.27905,0.10691,2.43654,3.70884,1.07771,0.009208,0.009208,0.009208
14,61.8928,2.08324,1.93137,0.98843,0.34027,0.36932,0.29904,0.12591,2.35096,3.07271,1.0686,0.009142,0.009142,0.009142
15,66.232,2.04312,1.82496,0.97934,0.37323,0.33118,0.30872,0.10536,2.50408,2.39658,1.10079,0.009076,0.009076,0.009076
16,70.6057,1.9588,1.68416,0.9638,0.50932,0.26914,0.27986,0.11221,2.51514,2.6064,1.098,0.00901,0.00901,0.00901
17,74.923,1.96729,1.69336,0.97018,0.59396,0.43537,0.40528,0.15946,2.22652,2.58331,1.05312,0.008944,0.008944,0.008944
18,79.2699,2.01193,1.64586,0.95768,0.70538,0.27825,0.35259,0.15249,2.30507,3.1408,1.06451,0.008878,0.008878,0.008878
19,83.6182,1.94085,1.61911,0.94516,0.61245,0.27653,0.32952,0.12825,2.34843,2.7639,1.05491,0.008812,0.008812,0.008812
20,87.9774,1.91746,1.50203,0.9693,0.498,0.43029,0.4141,0.14405,2.32333,2.4653,1.05017,0.008746,0.008746,0.008746
21,92.3058,1.93896,1.52047,0.96792,0.57482,0.43121,0.39562,0.11737,2.57724,2.22302,1.083,0.00868,0.00868,0.00868
22,96.6389,1.91344,1.45956,0.96336,0.80881,0.3387,0.44154,0.18298,2.23545,2.17091,1.04254,0.008614,0.008614,0.008614
23,101.057,1.88537,1.42597,0.95289,0.43969,0.24964,0.2769,0.10332,2.39055,2.63409,1.07989,0.008548,0.008548,0.008548
24,105.393,1.8762,1.41052,0.94249,0.78278,0.57294,0.6759,0.29737,1.95994,1.67252,0.99475,0.008482,0.008482,0.008482
25,109.729,1.85547,1.33201,0.96049,0.81758,0.67314,0.74164,0.336,1.8767,1.75246,0.97779,0.008416,0.008416,0.008416
26,114.077,1.92824,1.38856,0.95512,0.67056,0.61489,0.63153,0.27377,1.94413,1.80891,0.98119,0.00835,0.00835,0.00835
27,118.439,1.8495,1.32945,0.95108,0.8212,0.62568,0.6915,0.30469,1.95504,1.37636,0.97793,0.008284,0.008284,0.008284
28,122.756,1.84124,1.28797,0.94171,0.79688,0.64011,0.66885,0.2639,2.08864,1.37922,1.01612,0.008218,0.008218,0.008218
29,127.099,1.87509,1.31334,0.94277,0.7435,0.52526,0.57271,0.21664,2.13223,1.57991,1.00514,0.008152,0.008152,0.008152
30,131.4,1.8166,1.26477,0.9293,0.6006,0.44462,0.4819,0.1812,2.34673,1.82143,1.03644,0.008086,0.008086,0.008086
31,135.763,1.84324,1.25582,0.94213,0.8852,0.61216,0.72996,0.33298,1.89009,1.43653,0.98348,0.00802,0.00802,0.00802
32,140.057,1.73995,1.19563,0.92772,0.83633,0.61064,0.69251,0.26877,2.14473,1.43771,1.03821,0.007954,0.007954,0.007954
33,144.425,1.7251,1.14761,0.93637,0.40386,0.38314,0.32399,0.12364,2.5532,3.29419,1.17852,0.007888,0.007888,0.007888
34,148.793,1.8328,1.29069,0.93169,0.58385,0.66972,0.64261,0.28017,1.9837,1.63044,0.99241,0.007822,0.007822,0.007822
35,153.145,1.75915,1.16401,0.94024,0.85848,0.64052,0.7439,0.33848,1.85472,1.25454,0.9635,0.007756,0.007756,0.007756
36,157.513,1.76153,1.13062,0.92532,0.67946,0.46669,0.54783,0.2375,2.09486,1.88585,1.01384,0.00769,0.00769,0.00769
37,161.843,1.75394,1.15102,0.92212,0.53195,0.56542,0.55683,0.23018,2.08614,1.72996,1.00567,0.007624,0.007624,0.007624
38,166.172,1.72738,1.10826,0.91709,0.76017,0.57163,0.67588,0.30334,1.91822,1.53237,0.98619,0.007558,0.007558,0.007558
39,170.511,1.72879,1.09901,0.92889,0.73095,0.56493,0.62413,0.27423,1.92317,1.5058,0.97129,0.007492,0.007492,0.007492
40,174.866,1.75008,1.14775,0.91603,0.7069,0.60434,0.66852,0.28581,1.97717,1.45323,0.97684,0.007426,0.007426,0.007426
41,179.204,1.73529,1.0924,0.91846,0.84407,0.72602,0.79691,0.37974,1.78916,1.12093,0.94703,0.00736,0.00736,0.00736
42,183.601,1.71064,1.03153,0.91463,0.85926,0.72648,0.79365,0.36612,1.84591,1.12842,0.96096,0.007294,0.007294,0.007294
43,187.93,1.7348,1.10433,0.923,0.84946,0.68178,0.7624,0.32562,1.9529,1.23374,0.97477,0.007228,0.007228,0.007228
44,192.293,1.69869,1.0549,0.91558,0.84437,0.60844,0.72844,0.32666,1.92698,1.43441,0.97769,0.007162,0.007162,0.007162
45,196.615,1.69741,1.04672,0.91619,0.8737,0.71384,0.77506,0.35306,1.88171,1.22597,0.95998,0.007096,0.007096,0.007096
46,200.944,1.69073,1.04077,0.91906,0.71132,0.60861,0.66554,0.29927,1.94814,1.34752,0.98053,0.00703,0.00703,0.00703
47,205.273,1.69228,1.04845,0.90773,0.91105,0.75561,0.83381,0.38717,1.81632,1.05279,0.95466,0.006964,0.006964,0.006964
48,209.612,1.72615,1.06069,0.9083,0.91426,0.74046,0.83942,0.39782,1.78644,1.06804,0.94221,0.006898,0.006898,0.006898
49,213.939,1.6413,0.98231,0.90452,0.8931,0.7059,0.83222,0.39446,1.78033,1.0611,0.94225,0.006832,0.006832,0.006832
50,218.313,1.66249,1.01474,0.90989,0.77038,0.68031,0.74728,0.32572,1.95206,1.22808,0.96612,0.006766,0.006766,0.006766
51,222.643,1.71279,1.05836,0.90669,0.78825,0.64948,0.71235,0.29465,2.02708,1.2463,0.97078,0.0067,0.0067,0.0067
52,227.004,1.63937,0.99957,0.9139,0.69156,0.64754,0.68493,0.30992,1.95427,1.29511,0.98692,0.006634,0.006634,0.006634
53,231.345,1.63908,0.98177,0.90353,0.84542,0.50572,0.60531,0.28552,2.02303,1.62565,1.00772,0.006568,0.006568,0.006568
54,235.683,1.63636,0.99705,0.90756,0.88171,0.75082,0.83529,0.39798,1.74577,1.04877,0.93805,0.006502,0.006502,0.006502
55,240.035,1.68977,1.01397,0.9145,0.78467,0.61194,0.68966,0.32362,1.88606,1.35263,0.96396,0.006436,0.006436,0.006436
56,244.363,1.63863,0.96616,0.8963,0.72738,0.6036,0.62127,0.23936,2.22036,1.50521,1.01174,0.00637,0.00637,0.00637
57,248.693,1.63704,0.97588,0.9107,0.80593,0.74621,0.79118,0.34112,1.96177,1.14794,0.96904,0.006304,0.006304,0.006304
58,253.038,1.58566,0.9144,0.90376,0.83747,0.74324,0.79784,0.36145,1.91758,1.0851,0.96147,0.006238,0.006238,0.006238
59,257.425,1.59631,0.95036,0.89484,0.84933,0.71495,0.80382,0.37456,1.90904,1.12769,0.9658,0.006172,0.006172,0.006172
60,261.766,1.62032,0.94646,0.90281,0.7569,0.65346,0.70402,0.3296,1.90361,1.22518,0.96058,0.006106,0.006106,0.006106
61,266.086,1.64324,0.96886,0.89239,0.91149,0.69972,0.80112,0.36479,1.85893,1.07089,0.95174,0.00604,0.00604,0.00604
62,270.414,1.58951,0.9317,0.89014,0.87584,0.79937,0.83927,0.38827,1.80305,1.00409,0.94683,0.005974,0.005974,0.005974
63,274.771,1.62197,0.94291,0.90683,0.85371,0.75597,0.81455,0.3829,1.82453,1.01889,0.94296,0.005908,0.005908,0.005908
64,279.12,1.62809,0.95095,0.89894,0.83683,0.72737,0.7754,0.36957,1.86086,1.14833,0.95529,0.005842,0.005842,0.005842
65,283.456,1.6078,0.95583,0.89128,0.83072,0.75382,0.79626,0.38426,1.82605,1.04746,0.94641,0.005776,0.005776,0.005776
66,287.831,1.58575,0.90551,0.88902,0.88507,0.81115,0.84908,0.40542,1.79321,0.9952,0.94212,0.00571,0.00571,0.00571
67,292.203,1.57961,0.92496,0.89277,0.89187,0.77347,0.83733,0.40684,1.79462,1.08226,0.94721,0.005644,0.005644,0.005644
68,296.529,1.57486,0.88289,0.89583,0.89796,0.806,0.86558,0.40109,1.81516,0.96856,0.94139,0.005578,0.005578,0.005578
69,300.855,1.57763,0.90092,0.8958,0.95356,0.73242,0.87166,0.4257,1.74628,0.95551,0.94032,0.005512,0.005512,0.005512
70,305.204,1.58475,0.89895,0.89072,0.85178,0.74666,0.80245,0.36064,1.87146,1.06566,0.96039,0.005446,0.005446,0.005446
71,309.559,1.5865,0.91262,0.89101,0.83355,0.65202,0.76142,0.31036,2.01232,1.17211,0.9702,0.00538,0.00538,0.00538
72,313.863,1.54091,0.86465,0.89718,0.92711,0.81136,0.86667,0.4029,1.82996,0.95176,0.94469,0.005314,0.005314,0.005314
73,318.202,1.55437,0.89841,0.89056,0.91869,0.75658,0.85191,0.41437,1.75084,0.95939,0.93044,0.005248,0.005248,0.005248
74,322.53,1.54237,0.88411,0.88393,0.9074,0.81494,0.87691,0.43077,1.75805,0.93788,0.93226,0.005182,0.005182,0.005182
75,326.855,1.54841,0.87206,0.89497,0.91875,0.82714,0.89093,0.43758,1.70198,0.88398,0.92541,0.005116,0.005116,0.005116
76,331.172,1.52883,0.85464,0.8925,0.92093,0.78016,0.86175,0.42501,1.71963,0.89465,0.93283,0.00505,0.00505,0.00505
77,335.499,1.55262,0.84938,0.88612,0.9008,0.76319,0.83784,0.39721,1.75571,0.9517,0.93222,0.004984,0.004984,0.004984
78,339.862,1.56577,0.87917,0.88679,0.88013,0.64252,0.77461,0.36069,1.87631,1.22913,0.95178,0.004918,0.004918,0.004918
79,344.171,1.58267,0.91433,0.88955,0.9246,0.80178,0.87438,0.4216,1.76611,0.94202,0.93937,0.004852,0.004852,0.004852
80,348.578,1.56625,0.89627,0.89367,0.90486,0.80052,0.86323,0.4245,1.73262,0.91233,0.9324,0.004786,0.004786,0.004786
81,352.903,1.52623,0.87117,0.88208,0.92058,0.77932,0.84929,0.38911,1.86704,0.9796,0.94358,0.00472,0.00472,0.00472
82,357.229,1.50448,0.84693,0.87536,0.89604,0.83914,0.8741,0.43006,1.75275,0.89978,0.93645,0.004654,0.004654,0.004654
83,361.565,1.50965,0.87206,0.88001,0.90246,0.78045,0.84551,0.40805,1.74656,0.94178,0.94455,0.004588,0.004588,0.004588
84,365.882,1.50634,0.8222,0.88053,0.87074,0.75045,0.81337,0.39461,1.77559,0.95702,0.94342,0.004522,0.004522,0.004522
85,370.208,1.52087,0.83964,0.88777,0.93281,0.69088,0.81514,0.38254,1.82441,1.02893,0.95482,0.004456,0.004456,0.004456
86,374.568,1.49687,0.82081,0.87778,0.90083,0.75036,0.85113,0.40355,1.78633,0.96622,0.94278,0.00439,0.00439,0.00439
87,378.913,1.51841,0.85652,0.88134,0.92534,0.76668,0.86507,0.41157,1.77821,0.98069,0.93746,0.004324,0.004324,0.004324
88,383.363,1.50479,0.84544,0.8723,0.9489,0.84579,0.90499,0.45354,1.68668,0.82993,0.92118,0.004258,0.004258,0.004258
89,387.863,1.4725,0.80067,0.87692,0.93974,0.82687,0.8877,0.44104,1.72898,0.87656,0.9274,0.004192,0.004192,0.004192
90,392.415,1.4728,0.81142,0.88144,0.87563,0.77377,0.84568,0.39828,1.78064,0.94654,0.94119,0.004126,0.004126,0.004126
91,396.869,1.50747,0.83138,0.88734,0.82806,0.79461,0.84195,0.40084,1.77403,0.97391,0.94663,0.00406,0.00406,0.00406
92,401.449,1.47677,0.83605,0.87987,0.93139,0.78783,0.86265,0.41915,1.75284,0.89106,0.93339,0.003994,0.003994,0.003994
93,406.391,1.48667,0.8394,0.88027,0.93723,0.81156,0.89686,0.45366,1.70677,0.85383,0.92217,0.003928,0.003928,0.003928
94,410.801,1.47021,0.80594,0.87937,0.96092,0.82824,0.89558,0.43756,1.73292,0.84473,0.92711,0.003862,0.003862,0.003862
95,415.271,1.45646,0.79065,0.88202,0.94842,0.84344,0.89545,0.44079,1.70474,0.85564,0.9201,0.003796,0.003796,0.003796
96,419.841,1.46241,0.78512,0.87551,0.95273,0.84094,0.89203,0.45292,1.68,0.8555,0.92161,0.00373,0.00373,0.00373
