epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.25214,3.59038,7.40332,1.87725,0,0,0,0,3.62422,6.83873,1.70037,0.0015,0.0015,0.0015
2,10.4082,3.09408,5.90253,1.33918,0,0,0,0,2.8162,5.32602,1.17189,0.00307954,0.00307954,0.00307954
3,15.3908,2.62293,4.99848,1.11808,5e-05,0.00887,3e-05,1e-05,3.33059,5.20524,1.18355,0.00463796,0.00463796,0.00463796
4,20.1859,2.62488,4.19001,1.12418,3e-05,0.00532,2e-05,1e-05,2.66347,4.68128,1.09714,0.00617526,0.00617526,0.00617526
5,24.9531,2.48238,3.5632,1.09631,0.00278,0.08529,0.03284,0.01095,2.87985,4.25039,1.16708,0.00769144,0.00769144,0.00769144
6,29.8006,2.49896,3.28958,1.07402,0.00132,0.16067,0.06783,0.01782,3.06965,4.00029,1.16038,0.0091865,0.0091865,0.0091865
7,34.6796,2.37441,2.88398,1.04618,0.79508,0.05745,0.06223,0.01849,3.29551,3.33591,1.29568,0.009604,0.009604,0.009604
8,39.544,2.28986,2.66796,1.02938,0.57395,0.17696,0.23489,0.08295,2.75901,2.83606,1.16337,0.009538,0.009538,0.009538
9,44.4209,2.20064,2.44556,1.0263,0.939,0.17587,0.27735,0.10526,2.54074,2.83328,1.09514,0.009472,0.009472,0.009472
10,49.2809,2.17696,2.22944,1.01544,0.87734,0.06481,0.07246,0.02955,3.38291,5.29408,1.39543,0.009406,0.009406,0.009406
11,54.2071,2.07322,2.12632,0.98604,0.71755,0.14948,0.11189,0.03174,3.07645,4.69727,1.24491,0.00934,0.00934,0.00934
12,59.021,2.10834,1.92984,1.00417,0.66486,0.35659,0.39242,0.1606,2.2627,2.31785,1.07174,0.009274,0.009274,0.009274
13,63.9209,2.03883,1.85705,0.97313,0.85036,0.15939,0.21548,0.09046,2.95879,2.74212,1.22278,0.009208,0.009208,0.009208
14,68.8307,2.04306,1.80011,0.98352,0.2467,0.25904,0.22816,0.08617,2.69711,2.97196,1.15248,0.009142,0.009142,0.009142
15,73.7765,1.97119,1.68884,0.961,0.63155,0.3653,0.40348,0.14125,2.52429,2.06987,1.09145,0.009076,0.009076,0.009076
16,78.8247,1.91649,1.54589,0.95393,0.81927,0.39173,0.49963,0.20606,2.26092,2.19709,1.0537,0.00901,0.00901,0.00901
17,83.8398,1.95119,1.52225,0.95616,0.77839,0.47941,0.5921,0.24789,2.08539,2.18448,1.01037,0.008944,0.008944,0.008944
18,88.6661,1.9668,1.50764,0.95339,0.68673,0.63063,0.68596,0.29834,1.93441,1.76088,0.98373,0.008878,0.008878,0.008878
19,93.4758,1.89208,1.45775,0.94194,0.70221,0.30345,0.34342,0.13329,2.50359,2.41708,1.08355,0.008812,0.008812,0.008812
20,98.277,1.85403,1.40375,0.95483,0.40491,0.43441,0.43735,0.19131,2.12622,2.2408,1.01815,0.008746,0.008746,0.008746
21,103.126,1.82878,1.3454,0.94556,0.73343,0.60651,0.68345,0.27936,2.03471,1.62567,0.99299,0.00868,0.00868,0.00868
22,107.939,1.83586,1.33832,0.95502,0.6409,0.53579,0.58628,0.24224,2.0747,2.17227,1.01605,0.008614,0.008614,0.008614
23,112.711,1.81044,1.32282,0.94269,0.74764,0.48024,0.55077,0.23633,2.08777,1.90478,1.02163,0.008548,0.008548,0.008548
24,117.858,1.81282,1.28617,0.93232,0.62774,0.41852,0.4525,0.16195,2.47206,2.05576,1.06127,0.008482,0.008482,0.008482
25,122.862,1.80264,1.24662,0.94075,0.60999,0.58688,0.57009,0.1866,2.48605,1.57443,1.06282,0.008416,0.008416,0.008416
26,127.938,1.8038,1.27643,0.92777,0.79298,0.65146,0.71987,0.30493,2.11809,1.34156,1.00459,0.00835,0.00835,0.00835
27,132.72,1.85973,1.26982,0.94445,0.82804,0.61396,0.67943,0.28548,2.09898,1.35613,1.00494,0.008284,0.008284,0.008284
28,137.591,1.793,1.18999,0.92897,0.83118,0.62221,0.71505,0.31488,1.97516,1.34162,0.99177,0.008218,0.008218,0.008218
29,142.489,1.77628,1.18316,0.92701,0.73368,0.62379,0.7107,0.30133,2.03372,1.33796,0.99281,0.008152,0.008152,0.008152
30,147.197,1.75648,1.1346,0.91547,0.61011,0.48996,0.51145,0.19056,2.31426,1.80676,1.04804,0.008086,0.008086,0.008086
